ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
4093;PR;MARINGA;MGA JA098D R PIO ANTANIA A TEIXEIRA-552;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-22988;-431519;0;N„o;0;0
ACG;GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;Instalado;2018-03-08 17:08:38 UTC;2019-05-01 20:25:39 UTC;-168208455;-492434712;RUA S DOMINGOS Q 1, 6/7, SETOR CENTRAL, APARECIDA DE GOIANIA - GO 74980900;N„o;Sala, Sala, Sala, Sala;ANDAR/ACG/TT/01, ANDAR/ACG/TT/02, EST/ACG/NI/NI
AGF;MG;AGUAS FORMOSAS;AGUAS FORMOSAS;Instalado;2014-04-05 20:46:04 UTC;2014-04-05 20:46:04 UTC;-170815224;-409359063;RUA ALVIM COUTO, 155, CENTRO, AGUAS FORMOSAS - MG 39880000;N„o;Sala, Sala;Datacom, TRANSMISSAO - TERREO
AGO;PB;ALAGOA NOVA;ALAGOA NOVA;Instalado;2014-04-05 19:37:31 UTC;2014-04-05 19:37:31 UTC;-70616667;-357580556;0;N„o;Sala, Sala;Datacom, EQUIPAMENTOS CX E TX / TERREO
AGVY;SC;BLUMENAU;AGUA VERDE - BLUMENAU;Instalado;2016-08-21 15:07:06 UTC;2020-05-26 14:30:54 UTC;-269058892;-491311394;RUA GEN OSORIO, 3927, AGUA VERDE, BLUMENAU - SC 89042001 ;N„o;Sala, Sala, Sala;ANDAR/AGVY/TT/001, ANDAR/AGVY/TT/01
AIR;AL;ARAPIRACA;ARAPIRACA;Instalado;2014-04-03 00:00:00 UTC;2021-02-16 14:28:15 UTC;-97549494;-36661636;RUA FERNANDES LIMA, S/N, CENTRO, ARAPIRACA - AL 99999999;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;1¬∞ ANDAR - TX, AIR02_COMUTACAO-TROPICO RA, ANDAR/AIR/01/SMP, COMUNICACAO  DE DADOS /1ANDAR, Comunicacao de Dados, Datacom, EST/AIR/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO-1 / 1 ANDAR, TRANSMISSAO-2 / TERREO
AJU;SE;ARACAJU;ARACAJU;Instalado;2014-04-03 14:08:00 UTC;2020-02-21 18:51:20 UTC;-109165552;-370542268;RUA LAGARTO, S/N, CENTRO, ARACAJU - SE 49010390;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;4¬∫ ANDAR / TX, BACK BONE II NACIONAL, Datacom, EST/AJU/NI/NI, MGW_ALCATEL / 4¬∞ ANDAR, Metro, Newbridge, RMS, TRANSMISSAO - 4 ANDAR(403), TRANSMISS√ÉO - TERREO, TX
ALD;PI;ANGICAL DO PIAUI;ANGICAL;Instalado;2014-04-05 19:37:10 UTC;2014-04-05 19:37:10 UTC;-60858444;-427384337;0;N„o;Sala, Sala, Sala, Sala, Sala;CX_DMX 1000 - TERREO, Datacom, EST/ALD/NI/NI, TRANSMISSAO - TERREO, TRANSMISS√ÉO
ALG;RS;ALEGRETE;ALEGRETE;Instalado;2021-05-06 18:04:42 UTC;2021-05-07 13:30:16 UTC;-29783337;-557933082;RUA GASPAR MARTINS, 179, CENTRO, ALEGRETE - RS 97542000 ;N„o;Sala, Sala, Sala, Sala;ANDAR/ALG/01/TX, ANDAR/ALG/03/TX, EST/ALG/NI/NI, GPON
ALM;CE;ITAREMA;ALMOFALA;Instalado;2014-04-05 19:37:24 UTC;2014-04-05 19:37:24 UTC;-29469559;-398202496;RUA JOAO AGOSTINHO NASCIMENTO, 360, CENTRO, ITAREMA - CE 62592000;N„o;Sala, Sala;Datacom, TRANSMISSAO - TERREO
ALP;MG;ALPERCATA;ALPERCATA;Instalado;2014-04-05 20:45:44 UTC;2014-04-05 20:45:44 UTC;-189891667;-419919444;RUA VEREADOR FANI, SN, CENTRO, ALPERCATA - MG 35138000;N„o;Sala, Sala, Sala;Datacom, EST/ALP/NI/NI, TRANSMISSAO - TERREO
