ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
ATCA;PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;Arquivo Eletrônico;Instalado;2016-08-21 15:07:06 UTC;2019-05-23 14:16:27 UTC;-253.375.717;-492.681.141;RUA PROF TEREZINHA CAMARGO, 89, VL CACHOEIRA, ALMIRANTE TAMANDARE - PR 83504580;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ATCA/TT/01, ANDAR/ATCA/TT/TX, EST/ATCA/NI/NI, TRANSMISSAO
APCL;PR;ARAPONGAS;ARAPONGAS;Arquivo Eletrônico;Instalado;2022-08-22 15:14:16 UTC;2022-11-01 20:03:16 UTC;-234.103.512;-514.373.075;AVENIDA ARAPONGAS, 871, CENTRO, ARAPONGAS - PR 86700050 ;Não;Sala, Sala, Sala;ANDAR/APCL/TT/01, ANDAR/APCL/TT/TX
EVHA;RO;VILHENA;ESTAÇÃO VILHENA;Arquivo Eletrônico;Instalado;2020-03-20 17:24:03 UTC;2020-05-25 19:48:42 UTC;-127.397.519;-601.340.357;AVENIDA CELSO MAZZUTI, 4407, JARDIM AMERICA, VILHENA - RO 76980753;Não;Sala, Sala, Sala;ANDAR/EVHA/TT/BACKBONE, ANDAR/EVHA/TT/TX, EST/EVHA/NI/NI
ATG;PR;ASTORGA;ASTORGA;Arquivo Eletrônico;Instalado;2022-08-02 13:49:04 UTC;2026-06-10 14:11:00 UTC;-232.372.424;-516.614.003;RUA JOSE ABRAHAO KEIDE, 641, CENTRO, ASTORGA - PR 86730000 ;Não;Sala, Sala, Sala, Sala;ANDAR/ATG/01/TX, ANDAR/ATG/TT/01, ANDAR/ATG/TT/TXD
BRSU;SC;BALNEARIO CAMBORIU;BARRA SUL;Arquivo Eletrônico;Instalado;2022-01-25 17:18:08 UTC;2023-07-04 17:33:48 UTC;-270.040.287;-486.230.474;RUA 3610, 193, CENTRO, BALNEARIO CAMBORIU - SC 88330245 ;Não;Sala, Sala, Sala;ANDAR/BRSU/TT/001
FLO;MG;BELO HORIZONTE;FLORAMAR - MG;Arquivo Eletrônico;Instalado;2019-02-20 15:27:48 UTC;2019-05-16 17:36:06 UTC;-1.985.156;-439.270.895;RUA AMERICO MARTINS DA COSTA, 997, PROVIDENCIA, BELO HORIZONTE - MG 31814120;Não;Sala, Sala;EST/FLO/NI/NI
BGV;RS;BENTO GONCALVES;BENTO GONÃ‡ALVES;Arquivo Eletrônico;Instalado;2022-08-16 14:08:49 UTC;2022-10-18 20:14:56 UTC;-291.661.719;-515.140.608;RUA DR JOSE MARIO MONACO, 215, CENTRO, BENTO GONCALVES - RS 95700066 ;Não;Sala, Sala, Sala;ANDAR/BGV/01/CD, ANDAR/BGV/01/TX
BNU;SC;BLUMENAU;BLUMENAU;Arquivo Eletrônico;Instalado;2018-12-11 18:41:26 UTC;2022-02-01 19:41:18 UTC;-269.177.049;-49.064.902;RUA REPUBLICA ARGENTINA, 33, PONTA AGUDA, BLUMENAU - SC 89050101 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/BNU/01/001TX, ANDAR/BNU/01/CD, ANDAR/BNU/01/CD NOVA, ANDAR/BNU/01/TX, ANDAR/BNU/02/TX, ANDAR/BNU/TT/001 CD, ANDAR/BNU/TT/009 TX, ANDAR/BNU/TT/01, EST/BNU/NI/NI, GSM, SMP
BVA;RR;BOA VISTA;BOA VISTA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2018-02-24 23:06:48 UTC;311.786;-6.071.799;;Não;;
ETNO;DF;BRASILIA;NORTE;Arquivo Eletrônico;Instalado;2018-08-10 13:27:20 UTC;2018-08-10 18:58:51 UTC;-15.763.873;-478.904.952;QUADRA SEPN 508 BLOCO D, SN, ASA NORTE, BRASILIA - DF 70740544;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ETNO/101, ANDAR/ETNO/2TX_DT, ANDAR/ETNO/2Âº/CD, ANDAR/ETNO/2Âº/METRO, EST/ETNO/NI/NI
BQE;SC;BRUSQUE;BRUSQUE;Arquivo Eletrônico;Instalado;2018-12-12 19:40:50 UTC;2019-09-25 15:30:03 UTC;-270.948.008;-489.124.183;RUA BR DO RIO BRANCO, 105, CENTRO, BRUSQUE - SC 88350200 ;Não;Sala, Sala, Sala, Sala;ANDAR/BQE/TT/01, ANDAR/BQE/TT/028 TX, EST/BQE/NI/NI
CJJ;SP;CAJAMAR;CAJAMAR;Arquivo Eletrônico;Instalado;2022-08-09 19:08:34 UTC;2022-08-09 19:11:15 UTC;-233.364.374;-468.351.885;;Não;;
CJM;SP;CAJAMAR;CAJAMAR;Arquivo Eletrônico;Instalado;2022-08-10 21:19:05 UTC;2022-08-10 21:22:05 UTC;-234.083.203;-468.550.913;;Não;;
CAS1;SP;CAMPINAS;OI JARDIM EULINA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 11:15:48 UTC;-22.882.646;-471.151.268;RUA MARIO JUNQUEIRA DA SILVA, 1600, JARDIM EULINA, CAMPINAS - SP 13063000 ;Sim;Sala, Sala;EST/CAS1/NI/NI, SALA TX
CPCE;MS;CAMPO GRANDE;RUI BARBOSA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2023-12-20 12:01:47 UTC;-204.588.519;-546.145.664;RUA RUI BARBOSA, 3040, CENTRO, CAMPO GRANDE - MS 79002953 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CPCE/5CD/191, ANDAR/CPCE/5CD/197-CD 3G, ANDAR/CPCE/5TT/192, ANDAR/CPCE/5TX/178, ANDAR/CPCE/5TX/192, ANDAR/CPCE/TT/DS, ComutaÃ§ão, EST/CPCE/NI/NI, MOVEL, SMP
CPMO;MS;CAMPO GRANDE;MORENAO;Arquivo Eletrônico;Instalado;2020-03-14 22:10:51 UTC;2022-11-07 17:41:46 UTC;-205.202.782;-546.002.789;RUA ELESBAO MURTINHO, 299, UNIVERSITARIO, CAMPO GRANDE - MS 79071203 ;Não;Sala, Sala, Sala;ANDAR/CPMO/2TX/41, EST/CPMO/NI/NI
CPNL;MS;CAMPO GRANDE;NOVA LIMA;Arquivo Eletrônico;Instalado;2022-04-26 18:09:44 UTC;2022-04-27 21:49:00 UTC;-204.187.273;-545.696.434;RUA MIGUEL SEBA, 645, VILA MATA DO JACINTO, CAMPO GRANDE - MS 79033150 ;Não;Sala, Sala, Sala, Sala;ANDAR/CPNL/TT/1CD, ANDAR/CPNL/TT/1TX, EST/CPNL/NI/NI
CCO;SC;CHAPECO;CHAPECO;Arquivo Eletrônico;Instalado;2018-12-14 12:32:18 UTC;2023-12-20 11:16:54 UTC;-271.014.593;-526.158.998;RUA MAL JOSE B. BORMANN-D, 72, CENTRO, CHAPECO - SC 89802120 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CCO/01/20 CD, ANDAR/CCO/01/20 TX, ANDAR/CCO/TT/01, ANDAR/CCO/TT/010 TX, EST/CCO/NI/NI
CBFB;PR;COLOMBO;FRANCISCO BONATO;Arquivo Eletrônico;Instalado;2019-04-18 17:00:55 UTC;2020-07-08 18:34:24 UTC;-252.928;-492.253;RUA PE FRANCISCO BONATO, 33, CENTRO, COLOMBO - PR 83414170 ;Não;Sala, Sala, Sala;ANDAR/CBFB/TT/01, ANDAR/CBFB/TT/TX
CBGT;PR;COLOMBO;GUARAITUBA - RUA COIMBRA 500;Arquivo Eletrônico;Instalado;2016-08-21 15:07:06 UTC;2019-02-23 20:33:25 UTC;-25.350.276;-49.175.112;RUA COIMBRA, 500, SANTA TEREZINHA, COLOMBO - PR 83408640 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CBGT/TT/01, ANDAR/CBGT/TT/TX, EST/CBGT/NI/NI
